"cid"	"cuisine_type"
1	"Japanese"
2	"Vietnamese "
3	"Korean"
4	"Chinese"
5	"Singaporean"
6	"Indonesian"
7	"Thai"
8	"Fast food"
9	"Seafood"
10	"Western"
11	"Healthy"
